nohup: les entrées sont ignorées

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-17 23:05:57 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:05:58 /api/mesure ................................ ~ 500.70ms
  2026-05-17 23:05:59 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:06:00 /api/mesure ................................ ~ 500.67ms
  2026-05-17 23:06:01 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:06:02 /api/mesure ................................ ~ 500.69ms
  2026-05-17 23:06:03 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:06:04 /api/mesure ................................ ~ 500.62ms
  2026-05-17 23:06:05 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:06:06 /api/mesure ................................ ~ 500.66ms
  2026-05-17 23:06:07 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:08 /api/mesure .................................. ~ 0.32ms
  2026-05-17 23:06:09 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:06:10 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:11 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:06:12 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:13 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:06:14 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:15 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:16 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:17 /api/mesure .................................. ~ 0.55ms
  2026-05-17 23:06:18 /api/mesure .................................. ~ 0.41ms
  2026-05-17 23:06:19 /dashboard ................................... ~ 0.25ms
  2026-05-17 23:06:19 /api/mesure .................................. ~ 1.31ms
  2026-05-17 23:06:19 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:06:20 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:20 /sw.js ....................................... ~ 0.10ms
  2026-05-17 23:06:21 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:06:21 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:06:22 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:06:23 /api/mesure .................................. ~ 0.30ms
  2026-05-17 23:06:23 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:24 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:25 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:25 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:06:26 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:27 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:27 /api/mesure .................................. ~ 0.03ms
  2026-05-17 23:06:28 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:29 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:06:29 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:06:30 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:31 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:31 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:06:32 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:06:33 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:33 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:06:34 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:35 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:36 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:06:37 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:39 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:39 /dashboard ................................... ~ 0.07ms
  2026-05-17 23:06:39 /api/mesure .................................. ~ 0.40ms
  2026-05-17 23:06:41 /sw.js ....................................... ~ 0.35ms
  2026-05-17 23:06:41 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:41 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:06:43 /api/mesure .................................. ~ 0.13ms
